OTU,Average abundance South (Standardised and transformed),Average abundance North (Standardised and transformed),Contribution to variance (%)
Escherichia fergusonii strain ATCC 35469-01,0,0,0
Delftia acidovorans strain SPH-1-01,0,0,0
Escherichia coli UMN026-30,0,0,0
Clostridium kluyveri strain NBRC 12016-08,0,0,0
Geobacter uraniumreducens Rf4-01,0,0,0
Denitrovibrio acetiphilus strain DSM 12809-01,0,0,0
Neorickettsia sennetsu str. Miyayama-08,0,0,0
Erwinia amylovora strain CFBP1430-01,0,0,0
Pyrococcus sp. OT3-08,0,0,0
Methylobacterium sp. DM4-01,0,0,0
Salmonella enterica subsp. enterica serovar Typhi str. Ty2-01,0,0,0
Yersinia pseudotuberculosis strain IP 31758-01,0,0,0
Prochlorococcus sp. MIT9211-01,0,0,0
Bacillus megaterium strain DSM319-08,0,0,0
Thermoanaerobacter sp. X514-08,0,0,0
Burkholderia sp. PsJN-01,0,0,0
Herpetosiphon aurantiacus DSM 785-01,0,0,0
Leptospira borgpetersenii serovar Hardjo-bovis strain L550-08,0,0,0
Methanococcus maripaludis strain C7-08,0,0,0
Desulfatibacillum alkenivorans strain AK-01-01,0,0,0
Burkholderia vietnamiensis strain G4-01,0,0,0
Methanothermobacter thermautotrophicus str. deltaH-08,0,0,0
Burkholderia sp. CCGE1002-01,0,0,0
Chlorobium limicola strain DSM 245-01,0,0,0
Prevotella ruminicola strain 23-01,0,0,0
Klebsiella variicola strain At-22-01,0,0,0
Mycobacterium vanbaalenii strain PYR-1-08,0,0,0
Thermoanaerobacter italicus strain Ab9-08,0,0,0
Microcystis aeruginosa NIES-843-01,0,0,0
Streptococcus agalactiae str. A909-30,0,0,0
Synechococcus sp. strain JA-2-3B'a(2-13)-01,0,0,0
Candidatus Desulforudis audaxviator strain MP104C-08,0,0,0
Vibrio cholerae strain M66-2-01,0,0,0
Acaryochloris marina MBIC11017-01,0,0,0
Frankia alni strain ACN14a-08,0,0,0
Rhodococcus sp. RHA1-01,0,0,0
Salmonella enterica subsp. enterica serovar Agona str. SL483-30,0,0,0
Salinibacter ruber strain DSM 13855-08,0,0,0
Clostridium acetobutylicum strain ATCC 824-08,0,0,0
Pelodictyon luteolum DSM 273-01,0,0,0
Methanosarcina acetivorans str. C2A-08,0,0,0
Xylella fastidiosa strain M23-01,0,0,0
Acidovorax sp. JS42-01,0,0,0
Ralstonia pickettii strain 12J-01,0,0,0
Desulfovibrio salexigens strain DSM 2638-01,0,0,0
Thermus thermophilus HB8-01,0,0,0
Sulfurihydrogenibium azorense strain Az-Fu1-01,0,0,0
Campylobacter lari strain RM2100-01,0,0,0
Clostridium sp. OhILAs-01,0,0,0
Halothermothrix orenii strain H 168-01,0,0,0
Clostridium botulinum A strain Hall-08,0,0,0
Mycoplasma mycoides subsp. mycoides SC strain PG1-08,0,0,0
Mycobacterium avium subsp. paratuberculosis strain K-10-08,0,0,0
Bordetella bronchiseptica RB50-01,0,0,0
Cloacamonas acidaminovorans-01,0,0,0
Citrobacter koseri strain ATCC BAA-895-01,0,0,0
Photorhabdus luminescens subsp. laumondii str. TTO1-01,0,0,0
Desulfotomaculum reducens strain MI-1-01,0,0,0
Borrelia recurrentis strain A1-08,0,0,0
Bacteroides thetaiotaomicron strain VPI-5482-01,0,0,0
Streptomyces scabies 87.22-08,0,0,0
Orientia tsutsugamushi strain Boryong-01,0,0,0
Bacillus tusciae strain DSM 2912-30,0,0,0
Thermotoga sp. TMO-30,0,0,0
Ehrlichia ruminantium strain Gardel-01,0,0,0
Halorhabdus utahensis strain DSM 12940-30,0,0,0
Methanococcus aeolicus strain Nankai-3-08,0,0,0
Bacillus thuringiensis serovar konkukian strain 97-27-30,0,0,0
Syntrophus aciditrophicus strain SB-01,0,0,0
Pseudomonas sp. LB400-01,0,0,0
Streptomyces griseus subsp. griseus strain NBRC 13350-08,0,0,0
Burkholderia glumae strain BGR1-01,0,0,0
Chloroflexus aggregans strain DSM 9485-01,0,0,0
Methylobacterium extorquens strain PA1-01,0,0,0
Sodalis glossinidius Dale and Maudlin 1999-01,0,0,0
Carboxydothermus hydrogenoformans str. Z-2901-30,0,0,0
Methanobrevibacter ruminantium strain M1-08,0,0,0
Thermotoga sp. TMO-08,0,0,0
Clostridium cellulolyticum strain H10-08,0,0,0
marine firmicute HTE831-08,0,0,0
Geobacter sulfurreducens strain PCA-01,0,0,0
Acidobacterium capsulatum strain ATCC 51196-01,0,0,0
Salmonella typhimurium LT2-08,0,0,0
Escherichia coli strain ED1a-01,0,0,0
Fervidobacterium nodosum strain Rt17-B1-08,0,0,0
Methanothrix thermophila PT-30,0,0,0
Xanthomonas campestris pv. campestris strain B100-01,0,0,0
Enterobacter sakazakii ATCC BAA-894-01,0,0,0
Shigella dysenteriae strain Sd197-08,0,0,0
Moorella thermoacetica strain ATCC 39073-30,0,0,0
Methanococcus maripaludis strain C6-08,0,0,0
Thermotoga sp. RQ2-08,0,0,0
Thermobifida fusca strain YX-01,0,0,0
Sodalis glossinidius strain 'morsitans'-01,0,0,0
Anaerococcus prevotii strain DSM 20548-08,0,0,0
Methanosphaerula palustris strain E1-9c-08,0,0,0
Deinococcus deserti strain VCD115-01,0,0,0
Mycobacterium sp. MCS-08,0,0,0
Mycobacterium avium str. 104-08,0,0,0
methanogenic archaeon strain SANAE-30,0,0,0
Bacillus cereus strain AH187-30,0,0,0
Gordonia bronchialis strain DSM 43247-01,0,0,0
Lactobacillus gasseri strain ATCC 33323-08,0,0,0
Streptococcus dysgalactiae subsp. equisimilis strain GGS_124-08,0,0,0
Thermotoga neapolitana NS-E-08,0,0,0
Lactococcus lactis subsp. cremoris strain MG1363-30,0,0,0
Mycobacterium tuberculosis strain KZN 1435-30,0,0,0
Burkholderia pseudomallei strain MSHR346-01,0,0,0
Clostridium tetani str. E88-08,0,0,0
Deinococcus radiodurans str. R1-01,0,0,0
Mycobacterium sp. JLS-08,0,0,0
Mycobacterium tuberculosis CSU#93-30,0,0,0
Bacillus halodurans strain C-125-30,0,0,0
bacterium EX-H1-01,0,0,0
Streptomyces coelicolor A3(2)-08,0,0,0
Bacillus pumilus strain SAFR-032-08,0,0,0
Borrelia turicatae strain 91E135-30,0,0,0
Gluconacetobacter diazotrophicus strain PAl 5-01,0,0,0
Methanohalophilus mahii strain DSM 5219-30,0,0,0
Xanthomonas campestris pv. campestris str. ATCC 33913-01,0,0,0
Mycobacterium bovis BCG strain Tokyo 172-30,0,0,0
Nostoc sp. PCC 7937-01,0,0,0
Helicobacter mustelae strain 12198-30,0,0,0
Bacillus cytotoxis NVH 391-98-01,0,0,0
Prochlorococcus sp. MIT9303-01,0,0,0
Anaplasma marginale strain St. Maries-01,0,0,0
Clostridium botulinum B1 strain Okra-01,0,0,0
Rhodococcus opacus strain B4-01,0,0,0
Orientia tsutsugamushi strain Ikeda-01,0,0,0
Desulfovibrio desulfuricans subsp. desulfuricans strain G20-01,0,0,0
Clostridium kluyveri strain DSM 555-08,0,0,0
Corynebacterium diphtheriae NCTC13129-08,0,0,0
Synechococcus sp. PCC 7424-01,0,0,0
Anaerocellum thermophilum strain DSM 6725-08,0,0,0
Catenulispora acidiphila strain DSM 44928-08,0,0,0
Caldicellulosiruptor saccharolyticus strain DSM 8903-08,0,0,0
Streptobacillus moniliformis strain DSM 12112-08,0,0,0
Meiothermus ruber strain DSM 1279-01,0,0,0
Xanthomonas axonopodis pv. citri str. 306-01,0,0,0
Geobacter sp. FRC-32-01,0,0,0
Acholeplasma laidlawii strain PG-8A-08,0,0,0
Anaplasma phagocytophilum str. HZ-08,0,0,0
Campylobacter jejuni subsp. jejuni strain 81-176-08,0,0,0
Exiguobacterium strain 255-15-01,0,0,0
Symbiobacterium thermophilum strain IAM 14863-01,0,0,0
Moorella thermoacetica strain ATCC 39073-01,0,0,0
Sulfurihydrogenibium sp. YO3AOP1-01,0,0,0
Fervidobacterium nodosum strain Rt17-B1-01,0,0,0
bacterium Ellin345-01,0,0,0
Rickettsia rickettsii strain Iowa-01,0,0,0
Francisella tularensis subsp. holarctica strain OSU18-08,0,0,0
not Oenococcus oeni MCW-08,0,0,0
Streptococcus pneumoniae TIGR4-08,0,0,0
sulfate-reducing bacterium Hxd3-01,0,0,0
Klebsiella pneumoniae strain NTUH-K2044-01,0,0,0
Geobacillus kaustophilus HTA426-01,0,0,0
Ralstonia solanacearum strain MolK2-01,0,0,0
Haliangium ochraceum strain DSM 14365-01,0,0,0
Campylobacter jejuni subsp. doylei strain 269.97-08,0,0,0
Thermus thermophilus strain HB27-01,0,0,0
Geobacillus sp. Y412MC61-01,0,0,0
Heliobacterium modesticaldum strain Ice1-01,0,0,0
Brevibacillus brevis strain NBRC 100599-01,0,0,0
Actinobacillus pleuropneumoniae strain L20-01,0,0,0
Campylobacter curvus strain 525.92-08,0,0,0
Nostoc sp. strain PCC 7120-01,0,0,0
Cryptobacterium curtum strain DSM 15641-01,0,0,0
Thermosipho africanus strain TCF52B-08,0,0,0
Rickettsia conorii strain Malish 7-01,0,0,0
Pelobacter propionicus strain DSM 2379-01,0,0,0
Saccharomonospora viridis strain DSM 43017-01,0,0,0
Bacillus halodurans strain C-125-01,0,0,0
Methylobacterium sp. CM4-01,0,0,0
Clostridium botulinum A strain ATCC 3502-30,0,0,0
Micrococcus luteus ATCC 9341-01,0,0,0
Pyrococcus abyssi strain GE5-08,0,0,0
Salmonella enterica subsp. enterica serovar Schwarzengrund strain CVM19633-08,0,0,0
Escherichia coli UMN026-01,0,0,0
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2-30,0,0,0
Thermomicrobium roseum DSM 5159-01,0,0,0
Campylobacter fetus subsp. fetus strain 82-40-01,0,0,0
Campylobacter hominis strain ATCC BAA-381-01,0,0,0
Klebsiella pneumoniae strain 342-01,0,0,0
Xanthomonas campestris pv. campestris strain 8004-01,0,0,0
Listeria innocua strain Clip11262-08,0,0,0
Pediococcus pentosaceus strain ATCC 25745-30,0,0,0
Streptococcus sanguinis strain SK36-08,0,0,0
Listeria seeligeri serovar 1/2b strain SLCC3954-30,0,0,0
Clostridium botulinum B1 strain Okra-08,0,0,0
Nanoarchaeum equitans str. Kin4-M-01,0,0,0
Leifsonia xyli subsp. xyli strain CTCB07-01,0,0,0
Streptococcus equi subsp. zooepidemicus strain MGCS10565-08,0,0,0
Lactobacillus plantarum strain JDM1-08,0,0,0
Xanthomonas euvesicatoria str. 85-10-01,0,0,0
Ehrlichia ruminantium strain Welgevonden-08,0,0,0
Bifidobacterium adolescentis strain ATCC 15703-30,0,0,0
Sanguibacter keddieii strain DSM 10542-01,0,0,0
Salmonella enterica subsp. enterica serovar Gallinarum strain 287/91-01,0,0,0
Escherichia coli O127:H6 strain E2348/69-30,0,0,0
Coprothermobacter proteolyticus DSM 5265-08,0,0,0
Campylobacter curvus strain 525.92-01,0,0,0
Burkholderia cepacia str. J2315-01,0,0,0
Escherichia coli strain S88-08,0,0,0
Staphylothermus marinus strain F1-08,0,0,0
Aquifex aeolicus str. VF5-01,0,0,0
Nocardia farcinica strain IFM 10152-01,0,0,0
Xanthomonas oryzae pv. oryzae strain KACC10331-01,0,0,0
Chlorobium phaeobacteroides strain DSM 266-01,0,0,0
Nostoc sp. PCC73102-01,0,0,0
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476-01,0,0,0
Geobacter sp. M21-01,0,0,0
Elusimicrobium minutum strain Pei191-01,0,0,0
Bifidobacterium longum str. DJO10A-08,0,0,0
Pseudomonas sp. AM1-01,0,0,0
Ralstonia solanacearum strain IPO1609-01,0,0,0
Mimi-01,0,0,0
Archaeoglobus fulgidus strain VC-16-08,0,0,0
Helicobacter acinonychis strain Sheeba-08,0,0,0
uncultured Termite group 1 bacterium phylotype Rs-D17-01,0,0,0
Exiguobacterium sp. AT1b-01,0,0,0
Alkaliphilus metalliredigens strain QYMF-01,0,0,0
Thermobaculum terrenum strain ATCC BAA-798-01,0,0,0
Escherichia coli O103:H2 strain 12009-30,0,0,0
Clostridium botulinum Ba4 strain 657-30,0,0,0
Thermosipho melanesiensis strain BI429-08,0,0,0
Kribbella flavida strain DSM 17836-01,0,0,0
Salmonella enterica subsp. enterica serovar Dublin strain CT_02021853-01,0,0,0
Nocardioides sp. JS614-01,0,0,0
Verrucomicrobiae bacterium V4-01,0,0,0
Hydrogenobacter thermophilus strain TK-6-08,0,0,0
Corynebacterium glutamicum strain R-08,0,0,0
Streptosporangium roseum strain DSM 43021-01,0,0,0
marine firmicute HTE831-01,0,0,0
Frankia sp. CcI3-01,0,0,0
Streptococcus mutans str. UA159-08,0,0,0
Macrococcus caseolyticus strain JCSC5402-01,0,0,0
Escherichia coli O55:H7 strain CB9615-01,0,0,0
Veillonella parvula strain DSM 2008-01,0,0,0
Clostridium botulinum A3 strain Loch Maree-30,0,0,0
Yersinia pestis strain CO92-01,0,0,0
Yersinia pestis bv. Microtus str. 91001-08,0,0,0
Thermocrinis albus strain DSM 14484-08,0,0,0
Methanococcus vannielii strain SB-08,0,0,0
Desulfovibrio magneticus strain RS-1-01,0,0,0
Natranaerobius thermophilus strain JW/NM-WN-LF-01,0,0,0
Mycobacterium abscessus strain ATCC 19977-01,0,0,0
Corynebacterium kroppenstedtii strain DSM 44385-08,0,0,0
Fibrobacter succinogenes subsp. succinogenes S85-01,0,0,0
Thermocrinis albus strain DSM 14484-01,0,0,0
Synechococcus sp. RF-2-01,0,0,0
Geobacter bemidjiensis strain Bem-01,0,0,0
Xanthomonas oryzae pv. oryzae strain MAFF 311018-01,0,0,0
Leptospira borgpetersenii serovar Hardjo-bovis strain JB197-01,0,0,0
Escherichia coli O157:H7 EDL933-30,0,0,0
Kytococcus sedentarius strain DSM 20547-01,0,0,0
Pelotomaculum thermopropionicum strain SI-01,0,0,0
Brachyspira hyodysenteriae strain WA1-01,0,0,0
DSM 13-30,0,0,0
Mycobacterium gilvum strain PYR-GCK-08,0,0,0
Acinetobacter baumannii strain AB307-0294-01,0,0,0
Helicobacter mustelae strain 12198-01,0,0,0
Clostridium difficile strain CD196-01,0,0,0
Yersinia pestis strain Angola-01,0,0,0
Atopobium parvulum strain DSM 20469-01,0,0,0
Escherichia coli strain SE11-08,0,0,0
Methanococcoides burtonii str. DSM 6242-01,0,0,0
Haloarcula marismortui strain ATCC 43049-08,0,0,0
Clostridium botulinum A2 strain Kyoto-08,0,0,0
endosymbiont of Acanthamoeba sp. UWE25-01,0,0,0
Streptococcus thermophilus strain LMD-9-30,0,0,0
Clostridium acetobutylicum strain ATCC 824-01,0,0,0
Finegoldia magna strain ATCC 29328-08,0,0,0
Leptotrichia buccalis strain C-1013-b-01,0,0,0
Campylobacter concisus strain 13826-01,0,0,0
Escherichia coli O111:H- strain 11128-01,0,0,0
Yersinia pestis strain Angola-08,0,0,0
Escherichia coli O103:H2 strain 12009-08,0,0,0
Salmonella enterica subsp. enterica serovar Choleraesuis strain SC-B67-08,0,0,0
Yersinia pestis strain Pestoides F-01,0,0,0
Kineococcus-like str. SRS30216-01,0,0,0
Actinosynnema mirum strain DSM 43827-08,0,0,0
Salinibacter ruber Anton et al. 2002-01,0,0,0
Sulfolobus solfataricus strain P2-08,0,0,0
Ureaplasma urealyticum ATCC 700970-01,0,0,0
Xylanimonas cellulosilytica strain DSM 15894-30,0,0,0
Arthrobacter aurescens strain TC1-01,0,0,0
marine firmicute HTE831-30,0,0,0
Micrococcus luteus strain NCTC 2665-01,0,0,0
Corynebacterium kroppenstedtii strain DSM 44385-01,0,0,0
Lactococcus lactis subsp. lactis strain Il1403-08,0,0,0
Fusobacterium nucleatum subsp. nucleatum str. ATCC 25586-01,0,0,0
Thermoanaerobacter pseudethanolicus strain ATCC 33223-01,0,0,0
Xanthomonas oryzae pv. oryzae strain PXO99A-01,0,0,0
Leptotrichia buccalis strain C-1013-b-30,0,0,0
Lactobacillus crispatus strain ST1-01,0,0,0
Natranaerobius thermophilus strain JW/NM-WN-LF-08,0,0,0
bacterium Ellin6076-01,0,0,0
Clostridium botulinum B strain Eklund 17B-30,0,0,0
Sebaldella termitidis strain ATCC 33386-30,0,0,0
Escherichia coli 55989-08,0,0,0
Salmonella enterica subsp. enterica serovar Paratyphi A strain AKU_12601-01,0,0,0
Geobacillus sp. Y412MC61-08,0,0,0
Burkholderia cenocepacia AU 1054-01,0,0,0
Tropheryma whipplei str. TW08/27-01,0,0,0
Salmonella typhi CT18-08,0,0,0
Borrelia hermsii strain DAH-01,0,0,0
Streptococcus suis str. P1/7-08,0,0,0
Corynebacterium efficiens strain YS-314-01,0,0,0
Escherichia coli strain CFT073-01,0,0,0
Mycobacterium gilvum strain PYR-GCK-01,0,0,0
Escherichia coli strain IAI1-30,0,0,0
Burkholderia thailandensis strain E264-01,0,0,0
Thermanaerovibrio acidaminovorans strain DSM 6589-01,0,0,0
Ehrlichia ruminantium strain Welgevonden-01,0,0,0
Chloroflexus sp. Y-400-fl-01,0,0,0
Streptococcus thermophilus strain LMG 18311-08,0,0,0
Staphylococcus epidermidis ATCC 12228-08,0,0,0
Salinospora sp. CNB440-01,0,0,0
Streptococcus uberis str. 0140J-30,0,0,0
Yersinia pseudotuberculosis strain YPIII-01,0,0,0
Beutenbergia cavernae strain DSM 12333-01,0,0,0
Helicobacter pylori strain 26695-30,0,0,0
Bacillus sp. KSM-K16-30,0,0,0
Burkholderia cenocepacia strain MC0-3-01,0,0,0
Borrelia turicatae strain 91E135-08,0,0,0
Streptococcus gordonii str. Challis substr. V288-08,0,0,0
Dictyoglomus thermophilum H-6-12-01,0,0,0
Rickettsia rickettsii strain 'Sheila Smith'-01,0,0,0
Methanocorpusculum labreanum strain Z-08,0,0,0
Shigella flexneri serotype 2a str. 2457T-01,0,0,0
Campylobacter jejuni subsp. jejuni strain NCTC 11168-08,0,0,0
Burkholderia ambifaria strain MC40-6-01,0,0,0
Burkholderia mallei strain NCTC 10247-01,0,0,0
Corynebacterium nigricans CN-1-01,0,0,0
methanogenic archaeon 6A8-08,0,0,0
Aeropyrum pernix strain K1-08,0,0,0
Methanothermobacter thermautotrophicus str. deltaH-01,0,0,0
Eubacterium rectale strain ATCC 33656-01,0,0,0
Escherichia coli strain ATCC 8739-30,0,0,0
Clostridium novyi-NT-01,0,0,0
Halomicrobium mukohataei strain DSM 12286-08,0,0,0
Salinibacter ruber strain DSM 13855-01,0,0,0
Escherichia coli O157:H7 str. EC4115-01,0,0,0
Listeria seeligeri serovar 1/2b strain SLCC3954-08,0,0,0
Staphylococcus carnosus subsp. carnosusstrain TM300-01,0,0,0
Escherichia coli strain IAI1-08,0,0,0
Salmonella enterica subsp. enterica serovar Newport strain SL254-08,0,0,0
Bacillus amyloliquefaciens strain FZB42-01,0,0,0
Desulfovibrio vulgaris vulgaris (strain Hildenborough)-01,0,0,0
Borrelia burgdorferi strain ZS7-08,0,0,0
Salmonella enterica subsp. enterica serovar Agona str. SL483-01,0,0,0
Lactococcus lactis subsp. cremoris strain SK11-30,0,0,0
Campylobacter jejuni subsp. doylei strain 269.97-01,0,0,0
Listeria seeligeri serovar 1/2b strain SLCC3954-01,0,0,0
Leptospira borgpetersenii serovar Hardjo-bovis strain L550-01,0,0,0
Clostridium perfringens strain SM101-08,0,0,0
Frankia alni strain ACN14a-01,0,0,0
Methanosphaerula palustris strain E1-9c-01,0,0,0
Clostridium phytofermentans strain ISDg-30,0,0,0
Anaeromyxobacter sp. K-01,0,0,0
Lactobacillus rhamnosus strain GG-08,0,0,0
Anaerococcus prevotii strain DSM 20548-01,0,0,0
Escherichia coli O26:H11 strain 11368-08,0,0,0
Bacillus cereus strain G9842-08,0,0,0
Clostridium thermocellum strain ATCC 27405-01,0,0,0
Roseiflexus sp. strain RS-1-01,0,0,0
Methanococcus maripaludis strain S2-08,0,0,0
Syntrophobacter fumaroxidans strain MPOB-01,0,0,0
Salmonella enterica subsp. enterica serovar Enteritidis strain P125109-01,0,0,0
Chlamydia trachomatis MoPn strain Nigg-01,0,0,0
Dehalococcoides ethenogenes strain 195-01,0,0,0
Sphaerobacter thermophilus strain DSM 20745-01,0,0,0
Mycoplasma capricolum subsp. capricolum strain ATCC 27343-01,0,0,0
Streptococcus gordonii str. Challis substr. V288-01,0,0,0
Thermotoga sp. TMO-01,0,0,0
Shigella sonnei strain Ss046-30,0,0,0
Alicyclobacillus acidocaldarius subsp. acidocaldarius strain DSM 446-01,0,0,0
Burkholderia pseudomallei strain 668-01,0,0,0
Burkholderia multivorans strain ATCC 17616-01,0,0,0
Thermosipho africanus strain TCF52B-01,0,0,0
Bifidobacterium lactis AD011-08,0,0,0
Bifidobacterium animalis subsp. lactis strain DSM 10140-08,0,0,0
Prochlorococcus sp. MIT9313-01,0,0,0
Bifidobacterium dentium strain Bd1-08,0,0,0
Bacillus megaterium strain DSM319-01,0,0,0
Streptococcus pyogenes strain MGAS2096-08,0,0,0
Rhodococcus erythropolis strain PR4-01,0,0,0
Thermoanaerobacter sp. X514-01,0,0,0
Eubacterium eligens strain ATCC 27750-01,0,0,0
Gardnerella vaginalis strain 409-05-01,0,0,0
Candidatus Desulforudis audaxviator strain MP104C-01,0,0,0
Clostridium difficile strain 630-01,0,0,0
Corynebacterium glutamicum ATCC 13032-30,0,0,0
Campylobacter jejuni subsp. jejuni strain 81116-01,0,0,0
Salmonella enterica subsp. enterica serovar Schwarzengrund strain CVM19633-01,0,0,0
Anaeromyxobacter sp. Fw109-5-01,0,0,0
Mycobacterium sp. KMS-08,0,0,0
Frankia sp. EAN1pec-01,0,0,0
Jonesia denitrificans strain DSM 20603-01,0,0,0
Thermoanaerobacter tengcongensis strain MB4-01,0,0,0
Bacillus cereus strain AH187-08,0,0,0
Conexibacter woesei strain DSM 14684-01,0,0,0
Ignicoccus sp. Kin4-I-01,0,0,0
Chlamydophila pneumoniae J138-01,0,0,0
Thermoanaerobacter italicus strain Ab9-01,0,0,0
Streptococcus thermophilus strain LMD-9-01,0,0,0
Mycobacterium smegmatis strain MC2 155-01,0,0,0
Streptococcus pneumoniae strain Taiwan19F-14-08,0,0,0
Clostridium botulinum E3 strain Alaska E43-08,0,0,0
Campylobacter concisus strain 13826-08,0,0,0
Clostridium cellulolyticum strain H10-01,0,0,0
Burkholderia pseudomallei strain 1710b-01,0,0,0
Syntrophomonas wolfei subsp. wolfei strain Goettingen-01,0,0,0
Escherichia coli strain BW2952-01,0,0,0
Picrophilus torridus strain DSM 9790-01,0,0,0
Streptococcus uberis str. 0140J-01,0,0,0
Yersinia pseudotuberculosis strain IP 32953-01,0,0,0
Myxococcus xanthus strain DK 1622-01,0,0,0
Dictyoglomus turgidum strain DSM 6724-01,0,0,0
Mycobacterium sp. MCS-01,0,0,0
Staphylococcus aureus subsp. aureus Mu50-01,0,0,0
Burkholderia cenocepacia HI2424-01,0,0,0
Dehalococcoides sp. BAV1-01,0,0,0
Burkholderia mallei strain 10229-01,0,0,0
Bacillus cereus ATCC 14579-08,0,0,0
Thermanaerovibrio acidaminovorans strain DSM 6589-30,0,0,0
Escherichia coli strain ATCC 8739-08,0,0,0
Anaeromyxobacter dehalogenans strain 2CP-1-01,0,0,0
Salmonella paratyphi C strain RKS4594-30,0,0,0
Bacillus cereus strain AH820-08,0,0,0
Caldicellulosiruptor saccharolyticus strain DSM 8903-01,0,0,0
Burkholderia cepacia AMMD-01,0,0,0
Streptomyces griseus subsp. griseus strain NBRC 13350-01,0,0,0
Xylanimonas cellulosilytica strain DSM 15894-01,0,0,0
Ferroglobus placidus strain DSM 10642-01,0,0,0
Onion yellows phytoplasma str. 'onion yellows'-01,0,0,0
Thermotoga maritima strain MSB8-08,0,0,0
Streptobacillus moniliformis strain DSM 12112-01,0,0,0
Ammonifex degensii strain KC4-01,0,0,0
Corynebacterium diphtheriae NCTC13129-01,0,0,0
Bifidobacterium adolescentis strain ATCC 15703-01,0,0,0
Methanohalophilus mahii strain DSM 5219-01,0,0,0
Anaeromyxobacter dehalogenans strain 2CP-C-01,0,0,0
Streptococcus pneumoniae strain ATCC 700669-08,0,0,0
Lactobacillus salivarius subsp. salivarius UCC118-08,0,0,0
Escherichia coli O103:H2 strain 12009-01,0,0,0
Methanothrix thermophila PT-01,0,0,0
Bacillus tusciae strain DSM 2912-01,0,0,0
Clostridium difficile strain R20291-01,0,0,0
Candidatus Hodgkinia cicadicola strain Dsem-01,0,0,0
Burkholderia pseudomallei strain 1106a-01,0,0,0
Desulfotomaculum acetoxidans strain DSM 771-01,0,0,0
Clostridium botulinum E3 strain Alaska E43-01,0,0,0
Streptococcus sanguinis strain SK36-01,0,0,0
Borrelia turicatae strain 91E135-01,0,0,0
Sebaldella termitidis strain ATCC 33386-01,0,0,0
Burkholderia pseudomallei strain K96243-01,0,0,0
Catenulispora acidiphila strain DSM 44928-01,0,0,0
Arthrobacter chlorophenolicus strain A6-01,0,0,0
Helicobacter pylori strain J99-01,0,0,0
Stackebrandtia nassauensis strain DSM 44728-01,0,0,0
Chlamydophila felis strain Fe/C-56-01,0,0,0
Methanococcus jannaschii DSM 2661-08,0,0,0
Shigella boydii strain CDC 3083-94-08,0,0,0
Anaerocellum thermophilum strain DSM 6725-01,0,0,0
Clostridium botulinum B strain Eklund 17B-01,0,0,0
Methanococcus aeolicus strain Nankai-3-01,0,0,0
Streptococcus suis strain BM407-01,0,0,0
Lysinibacillus sphaericus strain C3-41-01,0,0,0
Thermotoga sp. RKU-10-08,0,0,0
Bifidobacterium longum subsp. infantis strain ATCC 15697-08,0,0,0
Clostridium phytofermentans strain ISDg-01,0,0,0
Lactococcus lactis subsp. lactis strain KF147-08,0,0,0
Listeria monocytogenes strain 08-5578-08,0,0,0
Salmonella typhi CT18-30,0,0,0
Streptomyces scabies 87.22-01,0,0,0
Lactococcus lactis subsp. cremoris strain MG1363-01,0,0,0
Staphylococcus aureus subsp. aureus strain Newman-08,0,0,0
methanogenic archaeon strain SANAE-01,0,0,0
Staphylococcus aureus subsp. aureus COL-08,0,0,0
Treponema denticola str. ATCC 35405-01,0,0,0
Klebsiella pneumoniae (Schroeter 1886) Trevisan 1887-01,0,0,0
Thermosipho melanesiensis strain BI429-01,0,0,0
Escherichia coli strain SMS-3-5-08,0,0,0
Roseiflexus castenholzii strain DSM 13941-01,0,0,0
Methanosarcina mazei strain Go1-01,0,0,0
Streptococcus thermophilus strain CNRZ1066-01,0,0,0
Borrelia afzelii strain PKo-08,0,0,0
Campylobacter jejuni subsp. jejuni strain NCTC 11168-01,0,0,0
Lactobacillus salivarius subsp. salivarius UCC118-01,0,0,0
Methanocaldococcus fervens strain AG86-01,0,0,0
Staphylococcus aureus subsp. aureus Mu50-08,0,0,0
Haloquadratum walsbyi strain DSM 16790-01,0,0,0
Lactobacillus reuteri strain JCM 1112-08,0,0,0
Renibacterium salmoninarum strain ATCC 33209-01,0,0,0
Clostridium botulinum A3 strain Loch Maree-08,0,0,0
Yersinia pestis bv. Microtus str. 91001-01,0,0,0
Thermotoga sp. RKU-1-01,0,0,0
Mycobacterium sp. JLS-01,0,0,0
Mycobacterium tuberculosis strain KZN 1435-01,0,0,0
Desulfovibrio vulgaris strain 'Miyazaki F'-01,0,0,0
Burkholderia mallei strain SAVP1-01,0,0,0
Finegoldia magna strain ATCC 29328-01,0,0,0
Methanoculleus marisnigri strain JR1-30,0,0,0
Lactococcus lactis subsp. cremoris strain SK11-08,0,0,0
Bacillus medusa-01,0,0,0
Streptococcus gallolyticus strain UCN34-08,0,0,0
Clostridium beijerinckii strain NCIMB 8052-08,0,0,0
Bacillus thuringiensis strain Al Hakam-08,0,0,0
Thermotogales bacterium TBF 19.5.1-01,0,0,0
Streptococcus equi subsp. equi strain 4047-08,0,0,0
Bacillus sp. KSM-K16-01,0,0,0
Mycobacterium tuberculosis CSU#93-08,0,0,0
Escherichia coli strain HS-30,0,0,0
