Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]-08,0.07,0.06,0.04
photosystem II PsbB protein-30,0.03,0.01,0.04
GTP pyrophosphokinase [EC:2.7.6.5]-08,0.06,0.04,0.04
peptidyl-prolyl cis-trans isomerase D [EC:5.2.1.8]-08,0.05,0.03,0.04
ATP phosphoribosyltransferase regulatory subunit-08,0.04,0.02,0.04
glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]-08,0.05,0.04,0.04
DNA mismatch repair protein MutS-30,0.01,0.03,0.04
glucose-6-phosphate isomerase [EC:5.3.1.9]-30,0.01,0.03,0.04
penicillin-binding protein 1B [EC:2.4.1.129 3.4.-.-]-08,0.03,0.01,0.04
ribosomal RNA large subunit methyltransferase N [EC:2.1.1.-]-08,0.06,0.05,0.04
iron complex transport system substrate-binding protein-08,0.04,0.02,0.04
phosphate transport system permease protein-08,0.03,0.03,0.04
iron(III) transport system substrate-binding protein-08,0.06,0.05,0.04
alanine dehydrogenase [EC:1.4.1.1]-08,0.05,0.04,0.04
leucyl-tRNA synthetase [EC:6.1.1.4]-30,0.02,0.03,0.04
formate dehydrogenase; alpha subunit [EC:1.2.1.2]-30,0.02,0.03,0.04
aconitate hydratase 1 [EC:4.2.1.3]-08,0.08,0.07,0.04
2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide-08,0.08,0.06,0.04
modification methylase [EC:2.1.1.72]-08,0.02,0.04,0.04
magnesium transporter-08,0.06,0.05,0.04
argininosuccinate synthase [EC:6.3.4.5]-08,0.08,0.06,0.04
amino-acid N-acetyltransferase [EC:2.3.1.1]-08,0.03,0.01,0.04
alpha-glycerophosphate oxidase [EC:1.1.3.21]-08,0.02,0,0.04
pyruvate dehydrogenase E1 component [EC:1.2.4.1]-30,0.01,0.03,0.04
ATP-binding cassette; subfamily B; bacterial MsbA [EC:3.6.3.-]-08,0.04,0.03,0.04
phosphomannomutase [EC:5.4.2.8]-08,0.08,0.06,0.04
transcription-repair coupling factor (superfamily II helicase)-01,0.04,0.03,0.04
F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]-08,0.11,0.11,0.04
sulfate adenylyltransferase [EC:2.7.7.4]-08,0.05,0.03,0.04
rod shape-determining protein MreB and related proteins-08,0.06,0.06,0.04
GTP-binding protein LepA-30,0.01,0.03,0.04
diaminohydroxyphosphoribosylaminopyrimidine deaminase /-08,0.05,0.03,0.04
NADH dehydrogenase I subunit G [EC:1.6.5.3]-08,0.07,0.05,0.04
ATP-dependent Clp protease ATP-binding subunit ClpX-08,0.07,0.08,0.04
hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]-08,0.04,0.02,0.04
phosphoribosylamine--glycine ligase [EC:6.3.4.13]-08,0.08,0.06,0.04
phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP-30,0.01,0.03,0.04
succinate-semialdehyde dehydrogenase (NADP+) [EC:1.2.1.16]-08,0.07,0.06,0.04
fatty-acyl-CoA synthase [EC:6.2.1.-]-08,0.09,0.08,0.04
chromosomal replication initiator protein-08,0.07,0.07,0.04
glutamate N-acetyltransferase / amino-acid N-acetyltransferase-08,0.06,0.04,0.04
1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]-30,0.01,0.03,0.04
1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]-08,0.11,0.1,0.04
glucose inhibited division protein A-08,0.13,0.13,0.04
ATP-dependent Clp protease ATP-binding subunit ClpC-30,0.03,0.03,0.04
imidazolonepropionase [EC:3.5.2.7]-08,0.04,0.03,0.04
N utilization substance protein A-08,0.1,0.09,0.04
NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]-08,0.02,0.04,0.04
nucleoside-triphosphate pyrophosphatase [EC:3.6.1.19]-08,0.04,0.02,0.04
putative membrane protein-08,0.06,0.04,0.04
molecular chaperone DnaJ-08,0.08,0.07,0.04
alanine or glycine:cation symporter; AGCS family-08,0.06,0.04,0.04
nicotinate-nucleotide--dimethylbenzimidazole-08,0.03,0.01,0.04
ATP-dependent Clp protease; protease subunit [EC:3.4.21.92]-08,0.04,0.05,0.04
arginine N-succinyltransferase [EC:2.3.1.109]-08,0.02,0,0.04
cytochrome c oxidase subunit II [EC:1.9.3.1]-08,0.08,0.06,0.04
TldD protein-08,0.04,0.05,0.04
stearoyl-CoA desaturase (delta-9 desaturase) [EC:1.14.19.1]-08,0.01,0.02,0.04
ATP-dependent Clp protease ATP-binding subunit ClpA-08,0.07,0.06,0.04
ATP-dependent RNA helicase RhlB [EC:3.6.1.-]-08,0.03,0.01,0.04
translation initiation factor IF-2-01,0.07,0.07,0.04
dipeptide transport system permease protein-08,0.02,0,0.04
two-component system; NtrC family; nitrogen regulation response-08,0.06,0.05,0.04
primosomal protein N' (replication factor Y) (superfamily II-30,0.01,0.03,0.04
TetR/AcrR family transcriptional regulator-08,0.03,0.01,0.04
arginine decarboxylase [EC:4.1.1.19]-08,0.01,0.02,0.04
sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]-08,0.03,0.01,0.04
DNA segregation ATPase FtsK/SpoIIIE; S-DNA-T family-30,0.01,0.03,0.04
3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit-08,0.08,0.07,0.04
alanyl-tRNA synthetase [EC:6.1.1.7]-08,0.12,0.12,0.04
phosphoglycerate mutase [EC:5.4.2.1]-08,0.09,0.08,0.04
penicillin-binding protein 2-08,0.09,0.08,0.04
oligopeptidase B [EC:3.4.21.83]-08,0.06,0.05,0.04
N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]-08,0.06,0.04,0.04
fructose-bisphosphate aldolase; class I [EC:4.1.2.13]-08,0.03,0.05,0.04
MFS transporter; DHA1 family; bicyclomycin/chloramphenicol-08,0.05,0.03,0.04
DNA ligase (ATP) [EC:6.5.1.1]-08,0.01,0.03,0.04
two-component system; NtrC family; nitrogen regulation sensor-08,0.07,0.05,0.04
thioredoxin reductase (NADPH) [EC:1.8.1.9]-08,0.08,0.09,0.04
solute:Na+ symporter; SSS family-08,0.05,0.04,0.04
aspartate aminotransferase [EC:2.6.1.1]-08,0.07,0.07,0.04
outer membrane protein-30,0.01,0.03,0.04
aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit B-08,0.06,0.06,0.04
magnesium chelatase family protein-08,0.04,0.02,0.04
prephenate dehydratase [EC:4.2.1.51]-08,0.06,0.04,0.04
ATP-dependent Clp protease ATP-binding subunit ClpC-08,0.04,0.05,0.04
putrescine transport system ATP-binding protein-08,0.03,0.01,0.04
4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]-08,0.05,0.04,0.04
D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]-08,0.09,0.08,0.04
glycine dehydrogenase [EC:1.4.4.2]-01,0.07,0.07,0.04
arginyl-tRNA synthetase [EC:6.1.1.19]-08,0.09,0.07,0.04
sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]-08,0.03,0.01,0.04
long-chain acyl-CoA synthetase [EC:6.2.1.3]-30,0.01,0.03,0.04
pyruvate dehydrogenase E1 component [EC:1.2.4.1]-01,0.07,0.07,0.04
adenosylcobinamide-phosphate synthase CobD [EC:6.3.1.10]-08,0.03,0.01,0.04
histidinol dehydrogenase [EC:1.1.1.23]-01,0.07,0.06,0.04
LPS-assembly protein-08,0.05,0.03,0.04
molecular chaperone DnaK-01,0.06,0.07,0.04
DNA ligase (NAD+) [EC:6.5.1.2]-08,0.1,0.08,0.04
2;3;4;5-tetrahydropyridine-2-carboxylate N-succinyltransferase-08,0.05,0.04,0.04
magnesium and cobalt transporter-08,0.04,0.02,0.04
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase-08,0.05,0.03,0.04
ATP-dependent DNA helicase RecQ [EC:3.6.1.-]-30,0.02,0.03,0.04
tryptophan synthase beta chain [EC:4.2.1.20]-08,0.07,0.06,0.04
preprotein translocase subunit YidC-08,0.08,0.07,0.04
argininosuccinate lyase [EC:4.3.2.1]-08,0.08,0.07,0.04
NADH dehydrogenase [EC:1.6.99.3]-08,0.05,0.05,0.04
cytochrome o ubiquinol oxidase subunit I [EC:1.10.3.-]-08,0.02,0,0.03
cysteine desulfurase [EC:2.8.1.7]-08,0.06,0.05,0.03
DNA ligase (NAD+) [EC:6.5.1.2]-30,0.01,0.03,0.03
phosphate starvation-inducible protein PhoH and related proteins-08,0.06,0.05,0.03
peptide/nickel transport system substrate-binding protein-30,0.01,0.03,0.03
acetylornithine deacetylase [EC:3.5.1.16]-08,0.04,0.04,0.03
PmbA protein-08,0.03,0.04,0.03
ATP-dependent DNA helicase RecG [EC:3.6.1.-]-08,0.09,0.08,0.03
3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]-08,0.05,0.05,0.03
bifunctional enzyme involved in thiolation and methylation of tRNA-30,0.01,0.02,0.03
F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]-08,0.1,0.11,0.03
general secretion pathway protein D-08,0.04,0.02,0.03
dihydrolipoamide dehydrogenase [EC:1.8.1.4]-08,0.1,0.1,0.03
methylthioribose-1-phosphate isomerase [EC:5.3.1.23]-08,0.01,0.02,0.03
malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)-30,0.01,0.03,0.03
IMP dehydrogenase [EC:1.1.1.205]-08,0.08,0.07,0.03
ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]-01,0.04,0.04,0.03
dimethylglycine dehydrogenase [EC:1.5.99.2]-30,0.01,0.03,0.03
UDP-N-acetylmuramoylalanyl-D-glutamate--2;6-diaminopimelate ligase-08,0.05,0.03,0.03
leucyl aminopeptidase [EC:3.4.11.1]-08,0.07,0.08,0.03
phosphoserine aminotransferase [EC:2.6.1.52]-08,0.05,0.04,0.03
biopolymer transport protein ExbB-08,0.04,0.03,0.03
3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]-08,0.07,0.07,0.03
NADH dehydrogenase I subunit L [EC:1.6.5.3]-08,0.07,0.07,0.03
glucose inhibited division protein A-01,0.06,0.07,0.03
S-adenosylmethionine synthetase [EC:2.5.1.6]-30,0.01,0.03,0.03
peptidylprolyl isomerase [EC:5.2.1.8]-08,0.02,0.04,0.03
transketolase [EC:2.2.1.1]-01,0.06,0.07,0.03
phycobilisome core-membrane linker protein-08,0,0.02,0.03
phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]-08,0.08,0.06,0.03
Cu2+-exporting ATPase [EC:3.6.3.4]-08,0.04,0.03,0.03
adenosylhomocysteinase [EC:3.3.1.1]-30,0.01,0.03,0.03
S-adenosylmethionine synthetase [EC:2.5.1.6]-08,0.09,0.07,0.03
glucosamine--fructose-6-phosphate aminotransferase (isomerizing)-30,0.02,0.03,0.03
GDPmannose 4;6-dehydratase [EC:4.2.1.47]-08,0.05,0.05,0.03
ATP-dependent Lon protease [EC:3.4.21.53]-01,0.07,0.07,0.03
succinate dehydrogenase iron-sulfur protein [EC:1.3.99.1]-08,0.04,0.05,0.03
gamma-glutamyltranspeptidase [EC:2.3.2.2]-08,0.1,0.1,0.03
cytochrome c oxidase subunit I [EC:1.9.3.1]-01,0.07,0.07,0.03
peptidyl-dipeptidase Dcp [EC:3.4.15.5]-08,0.05,0.04,0.03
acetyl-CoA carboxylase carboxyl transferase subunit alpha-08,0.06,0.05,0.03
transcription termination factor Rho-30,0.01,0.03,0.03
polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]-01,0.07,0.07,0.03
acetylornithine/N-succinyldiaminopimelate aminotransferase-08,0.05,0.04,0.03
RNA polymerase sigma-70 factor; ECF subfamily-08,0.04,0.03,0.03
hydrophobic/amphiphilic exporter-1 (mainly G- bacteria); HAE1 family-08,0.01,0.02,0.03
zinc transport system substrate-binding protein-08,0.04,0.04,0.03
ribonucleotide reductase; class II [EC:1.17.4.1]-08,0,0.02,0.03
DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.1.-]-01,0.06,0.07,0.03
carboxyl-terminal processing protease [EC:3.4.21.102]-30,0.01,0.03,0.03
3-isopropylmalate dehydrogenase [EC:1.1.1.85]-08,0.07,0.07,0.03
molybdopterin biosynthesis protein MoeA-08,0.06,0.06,0.03
dihydrolipoamide dehydrogenase [EC:1.8.1.4]-30,0.02,0.03,0.03
cell division protein FtsZ-30,0.01,0.03,0.03
5'-nucleotidase [EC:3.1.3.5]-08,0.07,0.05,0.03
adenine deaminase [EC:3.5.4.2]-08,0.04,0.02,0.03
C4-dicarboxylate-binding protein DctP-08,0.02,0,0.03
CTP synthase [EC:6.3.4.2]-08,0.07,0.08,0.03
adenylosuccinate synthase [EC:6.3.4.4]-08,0.08,0.07,0.03
DNA replication and repair protein RecF-08,0.04,0.03,0.03
DNA polymerase III subunit gamma/tau [EC:2.7.7.7]-08,0.08,0.08,0.03
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)-08,0.05,0.03,0.03
molecular chaperone HtpG-30,0.02,0.03,0.03
adenosylcobyric acid synthase [EC:6.3.5.10]-08,0.04,0.03,0.03
leucyl aminopeptidase [EC:3.4.11.1]-30,0.01,0.02,0.03
histidinol-phosphate aminotransferase [EC:2.6.1.9]-08,0.07,0.06,0.03
polyphosphate kinase [EC:2.7.4.1]-08,0.03,0.04,0.03
thiamine-monophosphate kinase [EC:2.7.4.16]-08,0.04,0.03,0.03
methylmalonyl-CoA mutase [EC:5.4.99.2]-30,0.02,0.03,0.03
alanyl-tRNA synthetase [EC:6.1.1.7]-01,0.07,0.07,0.03
photosystem II PsbA protein-30,0.02,0.02,0.03
excinuclease ABC subunit B-08,0.11,0.11,0.03
dihydrofolate reductase [EC:1.5.1.3]-08,0.03,0.01,0.03
ATP-dependent RNA helicase RhlE [EC:3.6.1.-]-08,0.06,0.04,0.03
aminotransferase [EC:2.6.1.-]-08,0.05,0.04,0.03
DNA segregation ATPase FtsK/SpoIIIE; S-DNA-T family-01,0.06,0.07,0.03
GTP-binding protein LepA-01,0.05,0.06,0.03
D-amino-acid dehydrogenase [EC:1.4.99.1]-08,0.06,0.04,0.03
protein phosphatase 2 (formerly 2A); regulatory subunit B-30,0.02,0.04,0.03
ribosomal RNA small subunit methyltransferase B [EC:2.1.1.-]-08,0.05,0.03,0.03
alpha-mannosidase [EC:3.2.1.24]-08,0,0.02,0.03
DNA gyrase subunit A [EC:5.99.1.3]-01,0.07,0.07,0.03
1;4-alpha-glucan branching enzyme [EC:2.4.1.18]-08,0.02,0.02,0.03
3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]-01,0.06,0.06,0.03
ubiquinone/menaquinone biosynthesis methyltransferase [EC:2.1.1.-]-08,0.05,0.04,0.03
methionyl-tRNA synthetase [EC:6.1.1.10]-08,0.09,0.08,0.03
cell division protease FtsH [EC:3.4.24.-]-01,0.05,0.06,0.03
proline iminopeptidase [EC:3.4.11.5]-08,0.04,0.03,0.03
bifunctional enzyme involved in thiolation and methylation of tRNA-08,0.08,0.07,0.03
seryl-tRNA synthetase [EC:6.1.1.11]-08,0.06,0.06,0.03
glutamate 5-kinase [EC:2.7.2.11]-08,0.06,0.04,0.03
dihydroxy-acid dehydratase [EC:4.2.1.9]-01,0.06,0.06,0.03
ribonuclease E [EC:3.1.26.12]-08,0.06,0.07,0.03
isocitrate dehydrogenase kinase/phosphatase [EC:2.7.11.5 3.1.3.-]-08,0.02,0.01,0.03
5-oxoprolinase (ATP-hydrolysing) [EC:3.5.2.9]-08,0.04,0.04,0.03
ATP-dependent DNA helicase RecG [EC:3.6.1.-]-30,0.01,0.03,0.03
DNA recombination protein RmuC-08,0.05,0.04,0.03
lipoprotein-releasing system permease protein-08,0.06,0.05,0.03
molecular chaperone DnaK-30,0.03,0.04,0.03
taurine dioxygenase [EC:1.14.11.17]-08,0.04,0.03,0.03
D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6)-08,0.05,0.03,0.03
acetyl-CoA synthetase [EC:6.2.1.1]-01,0.06,0.07,0.03
isocitrate dehydrogenase [EC:1.1.1.42]-08,0.09,0.08,0.03
ATP-dependent Clp protease ATP-binding subunit ClpX-30,0.01,0.02,0.03
inorganic pyrophosphatase [EC:3.6.1.1]-01,0.06,0.06,0.03
type I restriction enzyme; R subunit [EC:3.1.21.3]-30,0.01,0.02,0.03
succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]-08,0.06,0.06,0.03
queuine tRNA-ribosyltransferase [EC:2.4.2.29]-08,0.07,0.05,0.03
GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]-30,0.01,0.03,0.03
serine/threonine protein kinase; bacterial [EC:2.7.11.1]-08,0.01,0.02,0.03
periplasmic protein TorT-08,0.02,0,0.03
zinc transport system permease protein-08,0.03,0.02,0.03
phosphoglycolate phosphatase [EC:3.1.3.18]-08,0.05,0.04,0.03
aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit A-30,0.01,0.03,0.03
NADH dehydrogenase I subunit C/D [EC:1.6.5.3]-08,0.02,0,0.03
FdhD protein-08,0.04,0.02,0.03
3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]-08,0.06,0.05,0.03
NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]-30,0.01,0.02,0.03
putative ATPase-08,0.05,0.04,0.03
type IV pilus assembly protein PilB-08,0.02,0.02,0.03
putative glutathione S-transferase-08,0.04,0.02,0.03
aconitate hydratase 2 [EC:4.2.1.3]-01,0.03,0.02,0.03
branched-chain amino acid transport system ATP-binding protein-30,0.01,0.02,0.03
histidinol dehydrogenase [EC:1.1.1.23]-30,0.01,0.03,0.03
photosystem I core protein Ia-08,0.02,0.03,0.03
topoisomerase IV subunit B [EC:5.99.1.-]-30,0.01,0.02,0.03
ATP-dependent helicase HrpB [EC:3.6.1.-]-08,0.04,0.04,0.03
RNA polymerase sigma-32 factor-08,0.05,0.04,0.03
thiamine transport system substrate-binding protein-08,0.02,0.01,0.03
thiamine biosynthesis protein ThiC-08,0.01,0.02,0.03
glycogen operon protein GlgX [EC:3.2.1.-]-08,0,0.02,0.03
phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]-08,0.06,0.05,0.03
RNA polymerase primary sigma factor-01,0.05,0.06,0.03
dihydroorotase [EC:3.5.2.3]-08,0.1,0.1,0.03
beta-hexosaminidase [EC:3.2.1.52]-08,0.03,0.02,0.03
anthranilate synthase component I [EC:4.1.3.27]-08,0.07,0.06,0.03
exodeoxyribonuclease III [EC:3.1.11.2]-08,0.06,0.05,0.03
malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)-01,0.06,0.06,0.03
threonyl-tRNA synthetase [EC:6.1.1.3]-30,0.02,0.03,0.03
molybdopterin oxidoreductase; molybdopterin binding subunit-08,0.03,0.03,0.03
GST-like protein-08,0.03,0.01,0.03
fumarate hydratase; class II [EC:4.2.1.2]-30,0.01,0.02,0.03
(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1]-08,0.05,0.05,0.03
tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]-08,0.04,0.02,0.03
two-component system; OmpR family; osmolarity sensor histidine-08,0.02,0.03,0.03
DeoR family transcriptional regulator; glycerol-3-phosphate regulon-08,0.02,0,0.03
cysteine synthase A [EC:2.5.1.47]-08,0.04,0.05,0.03
chromosome segregation protein-01,0.05,0.07,0.03
phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]-08,0.06,0.05,0.03
2-isopropylmalate synthase [EC:2.3.3.13]-30,0.02,0.03,0.03
prolyl-tRNA synthetase [EC:6.1.1.15]-08,0.08,0.08,0.03
phosphoribosylanthranilate isomerase [EC:5.3.1.24]-08,0.03,0.02,0.03
pyridoxine 5-phosphate synthase [EC:2.6.99.2]-08,0.05,0.03,0.03
photosystem I core protein Ib-08,0.02,0.02,0.03
methylenetetrahydrofolate dehydrogenase (NADP+) /-08,0.06,0.06,0.03
two-component system; NtrC family; C4-dicarboxylate transport-08,0.02,0,0.03
phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]-01,0.06,0.06,0.03
simple sugar transport system ATP-binding protein [EC:3.6.3.17]-08,0.06,0.05,0.03
poly(A) polymerase [EC:2.7.7.19]-08,0.05,0.04,0.03
glutathione S-transferase [EC:2.5.1.18]-08,0.04,0.05,0.03
glycine amidinotransferase [EC:2.1.4.1]-08,0.02,0.03,0.03
phosphoglycerate mutase [EC:5.4.2.1]-30,0.01,0.03,0.03
chemotaxis protein MotB-08,0.04,0.04,0.03
ubiquinol-cytochrome c reductase cytochrome b subunit [EC:1.10.2.2]-30,0.01,0.03,0.03
DNA gyrase subunit B [EC:5.99.1.3]-01,0.07,0.07,0.03
2-octaprenyl-6-methoxyphenol hydroxylase [EC:1.14.13.-]-08,0.04,0.04,0.03
exodeoxyribonuclease I [EC:3.1.11.1]-08,0.03,0.02,0.03
integrase/recombinase XerC-08,0.03,0.02,0.03
phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]-30,0.02,0.03,0.03
glutamyl-tRNA synthetase [EC:6.1.1.17]-08,0.08,0.09,0.03
DNA repair protein RadA/Sms-08,0.06,0.05,0.03
FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]-08,0.02,0.01,0.03
GTP-binding protein HflX-08,0.06,0.05,0.03
starch phosphorylase [EC:2.4.1.1]-08,0.01,0.02,0.03
3;4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]-30,0.01,0.02,0.03
glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]-08,0.03,0.03,0.03
pyruvate;orthophosphate dikinase [EC:2.7.9.1]-01,0.04,0.05,0.03
lipoprotein-releasing system ATP-binding protein [EC:3.6.3.-]-08,0.03,0.01,0.03
anthranilate synthase component II [EC:4.1.3.27]-08,0.04,0.03,0.03
ribonuclease R [EC:3.1.-.-]-30,0.01,0.02,0.03
N-carbamoyl-L-amino-acid hydrolase [EC:3.5.1.87]-08,0.03,0.02,0.03
D-cysteine desulfhydrase [EC:4.4.1.15]-08,0.02,0.01,0.03
DNA repair protein RadC-08,0.02,0.01,0.03
xanthine dehydrogenase large subunit [EC:1.17.1.4]-08,0.05,0.03,0.03
DNA topoisomerase II [EC:5.99.1.3]-08,0.01,0.02,0.03
DNA processing protein-08,0.03,0.01,0.03
isoquinoline 1-oxidoreductase; beta subunit [EC:1.3.99.16]-08,0.03,0.02,0.03
Cu2+-exporting ATPase [EC:3.6.3.4]-30,0.02,0.03,0.03
threonine dehydratase [EC:4.3.1.19]-30,0.01,0.03,0.03
3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase /-30,0.01,0.02,0.03
thymidylate synthase (FAD) [EC:2.1.1.148]-01,0.03,0.03,0.03
excinuclease ABC subunit B-01,0.06,0.06,0.03
propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]-08,0.05,0.03,0.03
type I restriction enzyme M protein [EC:2.1.1.72]-30,0,0.02,0.03
DNA primase [EC:2.7.7.-]-08,0.08,0.07,0.03
glycerol-3-phosphate acyltransferase PlsX [EC:2.3.1.15]-08,0.03,0.04,0.03
succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]-01,0.06,0.06,0.03
peptide/nickel transport system ATP-binding protein-01,0.03,0.03,0.03
penicillin-binding protein 2-30,0.01,0.02,0.03
pyruvate dehydrogenase E2 component (dihydrolipoamide-08,0.08,0.07,0.03
succinate-semialdehyde dehydrogenase (NADP+) [EC:1.2.1.16]-30,0.01,0.02,0.03
single-stranded-DNA-specific exonuclease [EC:3.1.-.-]-30,0.01,0.02,0.03
branched-chain amino acid transport system substrate-binding protein-30,0.01,0.03,0.03
F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]-01,0.05,0.05,0.03
aspartyl-tRNA synthetase [EC:6.1.1.12]-01,0.05,0.05,0.03
ribonuclease E [EC:3.1.26.12]-30,0.01,0.03,0.03
cell division protein FtsI (penicillin-binding protein 3)-30,0.01,0.02,0.03
recombination protein RecA-30,0.01,0.02,0.03
glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]-08,0.05,0.03,0.03
nucleobase:cation symporter-2; NCS2 family-08,0.03,0.01,0.03
serine--glyoxylate transaminase [EC:2.6.1.45]-08,0.03,0.02,0.03
5-methyltetrahydrofolate--homocysteine methyltransferase-30,0.02,0.03,0.03
exodeoxyribonuclease V gamma subunit [EC:3.1.11.5]-08,0.02,0.02,0.03
putative iron-regulated protein-08,0.03,0.02,0.03
excinuclease ABC subunit B-30,0.01,0.03,0.03
peptide chain release factor RF-1-30,0.01,0.02,0.03
pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16-08,0.01,0.02,0.03
methionyl-tRNA synthetase [EC:6.1.1.10]-30,0.01,0.02,0.03
large subunit ribosomal protein L2-08,0.06,0.05,0.03
myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]-08,0.06,0.05,0.03
RNA polymerase primary sigma factor-30,0.01,0.03,0.03
NADPH2:quinone reductase [EC:1.6.5.5]-08,0.05,0.04,0.03
beta-galactosidase [EC:3.2.1.23]-08,0.05,0.04,0.03
glycine betaine/proline transport system permease protein-01,0.06,0.06,0.03
tryptophanyl-tRNA synthetase [EC:6.1.1.2]-08,0.06,0.06,0.03
phosphopantothenoylcysteine decarboxylase /-08,0.07,0.06,0.03
ribosome biogenesis GTPase [EC:3.6.1.-]-08,0.04,0.03,0.03
malate synthase [EC:2.3.3.9]-30,0.01,0.03,0.03
riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]-08,0.05,0.04,0.03
sarcosine oxidase; subunit beta [EC:1.5.3.1]-30,0.01,0.02,0.03
flagellar biosynthesis protein FlhA-08,0.04,0.03,0.03
malonyl-CoA decarboxylase [EC:4.1.1.9]-08,0.03,0.02,0.03
lipoic acid synthetase [EC:2.8.1.8]-08,0.06,0.05,0.03
serine protease SohB [EC:3.4.21.-]-08,0.02,0.01,0.03
X-Pro dipeptidase [EC:3.4.13.9]-08,0.03,0.03,0.03
NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]-08,0.07,0.06,0.03
adenylosuccinate synthase [EC:6.3.4.4]-30,0.01,0.02,0.03
topoisomerase IV subunit A [EC:5.99.1.-]-30,0.01,0.02,0.03
lysyl-tRNA synthetase; class I [EC:6.1.1.6]-08,0.03,0.04,0.03
xylose isomerase [EC:5.3.1.5]-08,0.02,0.02,0.03
cell division protein FtsZ-08,0.08,0.08,0.03
tRNA modification GTPase-08,0.08,0.07,0.03
tRNA(Ile)-lysidine synthase [EC:6.3.4.-]-08,0.05,0.04,0.03
